사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-02,경춘선,1317,평내호평,108706,108356,30049,28541
2020-02,경춘선,1318,천마산,24084,20755,12591,13077
2020-02,경춘선,1319,마석,62415,61055,23960,23889
2020-02,경춘선,1320,대성리,10619,9534,3870,3529
2020-02,경춘선,1321,청평,31457,28970,10915,11067
2020-02,경춘선,1322,상천,3514,3103,2644,2523
2020-02,경춘선,1323,가평,32525,33204,9174,8920
2020-02,경춘선,1324,굴봉산,1810,2065,1241,1307
2020-02,경춘선,1325,백양리,5293,4740,685,668
2020-02,경춘선,1326,강촌,6902,6509,2559,2574
2020-02,경춘선,1327,김유정,5550,5906,1924,1910
2020-02,경춘선,1328,남춘천,43424,45246,14540,15095
2020-02,경춘선,1329,춘천,21934,20138,10224,8942
2020-02,수인선,1878,달월,1181,869,593,378
2020-02,수인선,1879,월곶,46147,43064,9618,9798
2020-02,수인선,1880,소래포구,75568,70008,25924,24858
2020-02,수인선,1881,인천논현,114827,120054,26127,26587
2020-02,수인선,1882,호구포,71390,71924,14790,14493
2020-02,수인선,1883,남동인더스파크,47230,51488,5346,5465
2020-02,수인선,1884,원인재,83308,85577,22395,22442
2020-02,수인선,1885,연수,93685,95348,22236,22460
2020-02,수인선,1886,송도,45443,41444,16156,15913
2020-02,수인선,1888,인하대,101664,96360,18140,17471
2020-02,수인선,1889,숭의,67237,61683,20883,20352
2020-02,수인선,1890,신포,29425,30088,9261,9562
2020-02,수인선,1891,인천,12216,23975,8469,9910
2020-02,경강선,1501,판교,98597,97754,9059,7807
2020-02,경강선,1502,이매,21242,17598,4753,4313
2020-02,경강선,1503,삼동,46988,40932,8408,8336
2020-02,경강선,1504,경기광주,148267,139244,19399,19977
2020-02,경강선,1505,초월,55275,52692,8830,8801
2020-02,경강선,1506,곤지암,37885,36563,7444,7705
2020-02,경강선,1507,신둔도예촌,22519,20932,4478,4255
2020-02,경강선,1508,이천,52072,55540,8753,9288
2020-02,경강선,1509,부발,38030,35886,4526,4471
2020-02,경강선,1510,세종대왕릉,4489,4285,2013,1947
2020-02,경강선,1511,여주,34551,34608,9193,9044
2020-02,5호선,2511,방화,135243,127984,37945,36151
2020-02,5호선,2512,개화산,114985,109874,27656,27015
2020-02,5호선,2513,김포공항,154524,140221,20893,23058
2020-02,5호선,2514,송정,141999,129549,37701,36888
2020-02,5호선,2515,마곡,157988,148314,24799,24143
2020-02,5호선,2516,발산,412277,426733,65718,63380
2020-02,5호선,2517,우장산,290968,285002,67529,70177
2020-02,5호선,2518,화곡,629483,580892,113271,108423
2020-02,5호선,2519,까치산,635529,598561,121382,123064
2020-02,5호선,2520,신정(은행정),298796,223359,46239,44302
2020-02,5호선,2521,목동,374047,410691,64590,66688
2020-02,5호선,2522,오목교(목동운동장앞),541249,583704,64404,63869
2020-02,5호선,2523,양평,154587,152857,22979,22633
2020-02,5호선,2524,영등포구청,77889,79153,15676,15320
2020-02,5호선,2525,영등포시장,185708,193820,56114,57154
2020-02,5호선,2526,신길,81614,90506,9097,9403
